"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
70;"SW_42";"SW_Hotswap_Kailh_MX_1.00u";1;"Ü";;;
71;"SW_27";"SW_Hotswap_Kailh_MX_2.00u";1;"Backspace";;;
72;"SW_4";"SW_Hotswap_Kailh_MX_1.00u";1;"F3";;;
73;"SW_64";"SW_Hotswap_Kailh_MX_1.00u";1;"C";;;
74;"SW_80";"SW_Hotswap_Kailh_MX_1.25u";1;"RWin";;;
75;"SW_6";"SW_Hotswap_Kailh_MX_1.00u";1;"F5";;;
76;"SW_21";"SW_Hotswap_Kailh_MX_1.00u";1;"Num7";;;
77;"SW_77";"SW_Hotswap_Kailh_MX_6.25u";1;"Space";;;
78;"SW_73";"SW_Hotswap_Kailh_MX_1.00u";1;"Up";;;
79;"SW_46";"SW_Hotswap_Kailh_MX_1.00u";1;"End";;;
80;"SW_31";"SW_Hotswap_Kailh_MX_1.50u";1;"Tab";;;
81;"SW_38";"SW_Hotswap_Kailh_MX_1.00u";1;"U";;;
82;"SW_25";"SW_Hotswap_Kailh_MX_1.00u";1;"Sz";;;
83;"SW_10";"SW_Hotswap_Kailh_MX_1.00u";1;"F9";;;
84;"SW_22";"SW_Hotswap_Kailh_MX_1.00u";1;"Num8";;;
85;"SW_70";"SW_Hotswap_Kailh_MX_1.00u";1;"Period";;;
86;"D78,D36,D22,D40,D52,D26,D49,D19,D83,D5,D72,D44,D39,D6,D76,D82,D38,D74,D4,D68,D12,D48,D80,D28,D59,D81,D45,D66,D58,D2,D62,D84,D23,D10,D24,D35,D56,D31,D18,D8,D65,D64,D1,D73,D46,D30,D67,D20,D77,D63,D16,D69,D21,D3,D60,D70,D79,D61,D27,D55,D15,D75,D11,D71,D34,D47,D41,D17,D37,D43,D13,D29,D14,D42,D32,D25,D53,D7,D33,D50,D9,D51,D57,D54";"D_0805_2012Metric";84;"D";;;
87;"A1";"RaspberryPi_Pico_Common_THT";1;"RaspberryPi_Pico";;;
